subtype	subtype2	name	cost		damage	critical	range	weight	damagetype	properties	
Martial	Light Melee 	Iron brush	2 gp	1d2	1d3	×2	10		Piercing		<p>This is an iron-handled version of a scholar's brush with a sharpened handle. Though it does little damage, it is easily concealed (you gain a +2 bonus on Sleight of Hand checks made to conceal an iron brush on your body) and can be thrown short distances, or used to jab at key nerve clusters and acupuncture points to surprisingly devastating effect.</p>
Martial	Light Melee 	Jutte	8 gp	1d4	1d6	×2		1	Bludgeoning	Disarm, monk	<p>This batonlike weapon is fitted with a metal hook that can be used to block and pin an opponent's weapon. Some variations are tipped with a sharpened metal spike or blade.</p>
Martial	Light Melee 	Kerambit	2 gp	1d2	1d3	×3			Slashing		<p>This small, curved pull dagger has a metal loop at the base of its handle, allowing it to be secured with a pinky or worn on a string tied in the hair. While relatively small, the curved blade can create brutal wounds. Easily concealed (you gain a +2 bonus on Sleight of Hand checks made to conceal a kerambit on your body), it is a favorite weapon of ninja and assassins.</p>
Martial	Light Melee 	Kukri	8 gp	1d3	1d4	18-20/×2		2	Slashing		<p>A kukri is a curved blade, about 1 foot in length.</p>
Martial	Light Melee 	Light hammer	1 gp	1d3	1d4	×2	20	2	Bludgeoning		<p>A lighter version of a warhammer, this weapon usually has a sleek metal head with one striking surface.</p>
Martial	Light Melee 	Light pick	4 gp	1d3	1d4	×4		3	Piercing		<p>This weapon, adapted from the pickaxe tool, has a head with a slightly curved, armor-piercing spike and a hammerlike counterweight.</p>
Martial	Light Melee 	Light shield	9 gp	1d2	1d3	×2			Bludgeoning		<p>You can bash with a light shield instead of using it for defense. The shield entries for light shields appear on page 12.</p>
Martial	Light Melee 	Lungchuan tamo	5 gp	1d3	1d4	×2	10	1	Piercing or slashing	Monk	<p>What seems to be an ordinary baton sheaths a pair of matching slender-bladed daggers—perfectly balanced throwing blades.</p>
Martial	Light Melee 	Sap	1 gp	1d4	1d6	×2		2	Bludgeoning	Nonlethal	<p>This weapon consists of a soft wrapping around a hard, dense core, typically a leather sheath around a lead rod. The head is wider than the handle and designed to spread out the force of the blow, making it less likely to draw blood or break bones.</p>
Martial	Light Melee 	Shang gou	6 gp	1d3	1d4	×2		1	Slashing	Disarm or trip, monk	<p>Forged in pairs, these solid metal blades end in curved hooks, while the hand guards are hammered into outward-facing spiked crescents. Both the crescent and the tip of the hilt are sharpened for combat. They can be wielded as single weapons or with two-weapon fighting styles. These weapons gain the disarm special feature when they are used individually. A pair of shang gou can also be formed into a single one-handed weapon to gain the trip special feature.</p>
Martial	Light Melee 	Shortsword	10 gp	1d4	1d6	19-20/×2		2	Piercing		<p>Short swords are some of the most common weapons found in any martial society, and thus designs are extremely varied, depending on the region and creator. Most are around 2 feet in length. Their blades can be curved or straight, single- or double-edged, and wide or narrow. Hilts may be ornate or simple, with crossguards, basket hilts, or no guard at all. Such weapons are often used on their own, but can also be paired as a matched set, or used in conjunction with a dagger or longer sword.</p>
Martial	Light Melee 	Spiked armor	+50 gp	1d4	1d6	×2			Piercing		<p>You can outfit your armor with spikes, which can deal damage in a grapple or as a separate attack. See the armor spikes entry on page 10 for details. Armor spikes can't be disarmed.</p>
Martial	Light Melee 	Spiked light shield	+50 gp	1d3	1d4	×2			Piercing		<p>You can bash with a spiked light shield instead of using it for defense. A spiked light shield can't be disarmed. See the armor spikes entry on page 10 for details.</p>
Martial	Light Melee 	Starknife	24 gp	1d3	1d4	×3	20	3	Piercing		<p>From a central metal ring, four tapering metal blades extend from this weapon like points on a compass rose. By gripping the crossbar that runs through the weapon's open middle, a wielder can strike with it as a deadly melee weapon. Alternatively, by gripping it by the outer rim, a starknife's light, aerodynamic design allows it to be thrown short distances in a manner similar to a chakram.</p>
Martial	Light Melee 	Throwing axe	8 gp	1d4	1d6	×2	10	2	Slashing		<p>This one-handed axe is small and perfectly balanced for throwing, and can be used as a melee weapon. Throwing axes have a variety of alternative names, including franciscas, tomahawks, and more. The axe is normally gripped by the haft and thrown overhand, making one complete rotation in the air before biting into the target with the axe head.</p>
Martial	Light Melee 	Tonfa	1 gp	1d4	1d6	×2		1	Bludgeoning	Blocking, monk	<p>These L-shaped fighting batons are good for striking and blocking. The wielder holds the handle and either spins the stick or strikes with the stick covering the forearm.</p>
Martial	Light Melee 	Wushu dart	2 sp	1d2	1d3	×2	10		Piercing	Monk	<p>This sharpened wooden spike can be used as a punching weapon, but it is also perfectly balanced for throwing.</p>
Martial	One-Handed Melee 	Battleaxe	10 gp	1d6	1d8	×3		6	Slashing		<p>The handle of this axe is long enough that you can wield it one-handed or two-handed. The head may have one blade or two, with blade shapes ranging from half-moons to squared edges like narrower versions of woodcutting axes. The wooden haft may be protected and strengthened with metal bands called langets.</p>
Martial	One-Handed Melee 	Double chicken saber	12 gp	1d4	1d6	19-20/×2		3	Slashing	Disarm, monk	<p>The tip of this 3-foot-long, straight-bladed sword is bent into two staggered, opposing sharpened spurs that can be used to pull weapons from an opponent's hands.</p>
Martial	One-Handed Melee 	Heavy pick	8 gp	1d4	1d6	×4		6	Piercing		<p>This variant of the light pick has a longer handle and can be used with one or two hands. It is a common, inexpensive weapon for mounted soldiers since it can be used effectively from horseback.</p>
Martial	One-Handed Melee 	Heavy shield	7 gp/20 gp	1d3	1d4	×2			Bludgeoning		<p>You can bash with a heavy shield instead of using it for defense. The shield entries for heavy shields appear on page 11.</p>
Martial	One-Handed Melee 	Klar	12 gp	1d4	1d6	×2		6	Slashing	See text	<p>The traditional form of this tribal weapon is a short metal blade bound to the skull of a large horned lizard, but a skilled smith can craft one entirely out of metal. A traditional klar counts as a light wooden shield with armor spikes; a metal klar counts as a light steel shield with armor spikes.</p>
Martial	One-Handed Melee 	Light flail	8 gp	1d6	1d8	×2		5	Bludgeoning	Disarm, trip	<p>A light flail consists of a weighted striking end connected to a handle by a sturdy chain. Though often imagined as a ball, sometimes spiked like the head of a morningstar, the head of a light flail can actually take many different shapes, such as short bars. Military flails are sturdier evolutions of agricultural flails, which are used for threshing—beating stacks of grains to separate the useful grains from their husks.</p>
Martial	One-Handed Melee 	Longsword	15 gp	1d6	1d8	19-20/×2		4	Slashing		<p>This sword is about 3-1/2 feet in length.</p>
Martial	One-Handed Melee 	Nine-ring broadsword	15 gp	1d6	1d8	×3		4	Slashing	Monk	<p>This broad-bladed weapon has nine heavy rings threaded through its spine, providing additional weight to add to the force of its impressive chopping power.</p>
Martial	One-Handed Melee 	Rapier	20 gp	1d4	1d6	18-20/×2		2	Piercing		<p>You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a rapier sized for you, even though it isn't a light weapon. You can't wield a rapier in two hands in order to apply 1-1/2 times your Strength modifier to its damage.</p>
Martial	One-Handed Melee 	Scimitar	15 gp	1d4	1d6	18-20/×2		4	Slashing		<p>This curved sword is shorter than a longsword and longer than a shortsword. Only the outer edge is sharp, and the back is flat, giving the blade a triangular cross-section.</p>
Martial	One-Handed Melee 	Scizore	20 gp	1d8	1d10	×2		3	Piercing	Performance	<p>The scizore is a hardened tube that fits over the forearm, ending in a semicircular blade used for devastating bladed punch attacks. The scizore grants a +1 shield bonus to AC, but if you attack with the blade, you lose the AC bonus that round and take a –1 penalty on attack rolls with it. While wearing a scizore, you cannot use that hand for anything else. A scizore provides a +10 bonus to your CMD against being disarmed of your scizore. Donning a scizore is a full-round action.</p>
Martial	One-Handed Melee 	Sibat	2 gp	1d4	1d6	×3	10	2	Piercing or slashing	Grapple	<p>This weapon is similar to a shortspear with a flexible rattan or bamboo shaft and an elaborately barbed head. The barbs can snag flesh, clothing, or armor to ensnare an enemy.</p>
Martial	One-Handed Melee 	Spiked heavy shield	57 gp/70 gp	1d4	1d6	×2			Piercing		<p>Spiked shields are intimidating weapons, and can have a single protruding central spike, razored shield edges, or a whole forest of deadly protrusions. You can bash with a spiked heavy shield instead of using it for defense. A spiked heavy shield can't be disarmed. See the armor spikes entry on page 10 for details.</p>
Martial	One-Handed Melee 	Sword cane	45 gp	1d4	1d6	×2		4	Piercing		<p>This slender light blade lies within a wooden container that serves as both its scabbard and hiding place. You can draw the blade as a swift action (or a free action if you have the Quick Draw feat). An observer must succeed at a DC 20 Perception check to realize an undrawn sword cane is a weapon rather than a walking stick; the DC decreases to 10 if the observer is able to handle the weapon. You can use the Weapon Finesse feat to apply your Dexterity modifier instead of your Strength modifier to attack rolls with a sword cane sized for you, even though it isn't a light weapon. You can't wield a sword cane in two hands in order to apply 1-1/2 times your Strength modifier to damage.</p>
Martial	One-Handed Melee 	Terbutje	5 gp	1d6	1d8	19-20/×2		2	Slashing	Fragile	<p>This Stone Age weapon, also called a macuahuitl, is made from a length of tempered wood. It has bits of shark teeth, obsidian, glass, or similar materials studded all along its length.</p>
Martial	One-Handed Melee 	Trident	15 gp	1d6	1d8	×2	10	4	Piercing	Brace	<p>A trident has three metal prongs at end of a 4-foot-long shaft. This weapon can be thrown.</p>
Martial	One-Handed Melee 	Warhammer	12 gp	1d6	1d8	×3		5	Bludgeoning		<p>This weapon consists of a wooden haft and a heavy, metal head. The head may be single (like a carpenter's hammer) or double (like a sledgehammer). The haft is long enough that you may wield it one- or two-handed. Though heavy and relatively slow to wield, warhammers are capable of delivering immense blows, crushing armor and flesh alike.</p>
Martial	Two-Handed Melee 	Bardiche	13 gp	1d8	1d10	19-20/×2		14	Slashing	Brace, reach, see text	<p>The crescent axe-blade of this polearm is attached to the haft at two points: the center of the blade attaches to a socket at the top of the haft, and the lower point of the blade attaches to a secondary mount point. The blade is often very long, sometimes almost as long as the haft. You gain a +2 bonus to your CMD to resist sunder attempts made against a bardiche.</p>
Martial	Two-Handed Melee 	Bec de corbin	15 gp	1d8	1d10	×3		12	Bludgeoning or piercing	Brace, reach, see text	<p>The bec de corbin is a polearm very similar to the lucerne hammer, but the hammer head is slightly blunter and the spike is stouter and more hooked. You primarily attack with the spike. You gain a +2 bonus on combat maneuver checks to sunder medium or heavy armor with a bec de corbin.</p>
Martial	Two-Handed Melee 	Bill	11 gp	1d6	1d8	×3		11	Slashing	Brace, disarm, reach, see text	<p>The blade of this polearm is a curved or hooked chopping blade with a spiked projection on the back of the blade. The spike is commonly used to block and parry. When fighting defensively or with full defense, this weapon gives you a +1 shield bonus to AC. A mounted opponent hit by a bill takes a –1 penalty on his Ride check to stay mounted.</p>
Martial	Two-Handed Melee 	Earth breaker	40 gp	1d10	2d6	×3		14	Bludgeoning		<p>The crude metal of this massive hammer's head ends in multiple blunt spikes that help concentrate the force of a powerful swing down into a smaller, more focused area, allowing it to smash through armor with greater ease. Due to the tremendous size and weight of its head, an earth breaker is poorly balanced, and requires two hands to properly lift and control.</p>
Martial	Two-Handed Melee 	Falchion	75 gp	1d6	2d4	18-20/×2		8	Slashing		<p>This sword has one curved, sharp edge like a scimitar, with the back edge unsharpened and either flat or slightly curved. Its weight is greater toward the end, making it better for chopping rather than stabbing.</p>
Martial	Two-Handed Melee 	Glaive	8 gp	1d8	1d10	×3		10	Slashing	Reach	<p>A glaive is composed of a simple blade mounted on the end of a pole about 7 feet in length.</p>
Martial	Two-Handed Melee 	Glaive-guisarme	12 gp	1d8	1d10	×3		10	Slashing	Brace, reach, see text	<p>This polearm combines the blade of a glaive with a wicked hook. A mounted opponent hit by a glaive-guisarme takes a –2 penalty on her Ride check to stay mounted.</p>
Martial	Two-Handed Melee 	Greataxe	20 gp	1d10	1d12	×3		12	Slashing		"<p>This two-handed battle axe is heavy enough that you can't wield it with one hand. The head may have one blade or two, and may be ""bearded"" (meaning hooked or trailing at the bottom) to increase cleaving power and help pull down enemy shields. The haft is usually 3 to 4 feet long.</p>"
Martial	Two-Handed Melee 	Greatclub	5 gp	1d8	1d10	×2		8	Bludgeoning		<p>This larger, bulkier version of the common club is heavy enough that you can't wield it with one hand. It may be ornate and carved, reinforced with metal, or a simple branch from a tree. Like simple clubs, greatclubs have many names, such as cudgels, bludgeons, shillelaghs, and more.</p>
Martial	Two-Handed Melee 	Greatsword	50 gp	1d10	2d6	19-20/×2		8	Slashing		<p>This immense two-handed sword is about 5 feet in length. A greatsword may have a dulled lower blade that can be gripped.</p>
Martial	Two-Handed Melee 	Guisarme	9 gp	1d6	2d4	×3		12	Slashing	Reach, trip	<p>A guisarme is an 8-foot-long shaft with a blade and a hook mounted at the tip.</p>
Martial	Two-Handed Melee 	Halberd	10 gp	1d8	1d10	×3		12	Piercing or slashing	Brace, trip	<p>A halberd is similar to a 5-foot-long spear, but it also has a small, axelike head mounted near the tip.</p>
Martial	Two-Handed Melee 	Heavy flail	15 gp	1d8	1d10	19-20/×2		10	Bludgeoning	Disarm, trip	<p>Similar to a light flail, a heavy flail has a larger metal ball and a longer handle.</p>
Martial	Two-Handed Melee 	Hooked lance	3 gp	1d6	1d8	×4		10	Piercing	Reach, trip	<p>This slender, 10-foot-long polearm has an added hook protruding from the head that is used to snag the clothing and armor of opponents. A hooked lance, unlike a lance, can't be wielded in one hand while mounted and doesn't deal extra damage if used while mounted.</p>
Martial	Two-Handed Melee 	Horsechopper	10 gp	1d8	1d10	×3		12	Piercing or slashing	Reach, trip	<p>Crafted by goblins for battling horses, this weapon is essentially a long-handled halberd with an enlarged hook on the blade. Most horsechoppers are sized for Small creatures.</p>
Martial	Two-Handed Melee 	Lance	10 gp	1d6	1d8	×3		10	Piercing	Reach	<p>A lance deals double damage when used from the back of a charging mount. While mounted, you can wield a lance with one hand.</p>
Martial	Two-Handed Melee 	Lucerne hammer	15 gp	1d10	1d12	×2		12	Bludgeoning or piercing	Brace, reach, see text	<p>This polearm has both a pronged hammer head for crushing blows and a spiked head for piercing and peeling armor. The long haft allows the wielder to put amazing force behind the head of this weapon. You gain a +2 bonus on combat maneuver checks to sunder medium or heavy armor with a lucerne hammer.</p>
Martial	Two-Handed Melee 	Mattock	12 gp	1d6	2d4	×4		12	Piercing	Fragile	<p>A mattock resembles a two-handed pick, but with a chisel-like blade instead of a point.</p>
Martial	Two-Handed Melee 	Monk's spade	20 gp	1d4/1d4	1d6/1d6	×2		12	Bludgeoning or piercing or slashing	Double, monk	<p>This polearm is a double weapon. One side is fitted with a broad, shovel-like sharpened blade, while the opposite side is fitted with a crescent blade that juts out like a pair of bull's horns. The monk's spade does many types of damage. The type of damage it deals depends on how it is wielded, with the spade side able to bludgeon and slash and the crescent side able to slash and pierce.</p>
Martial	Two-Handed Melee 	Naginata	35 gp	1d6	1d8	×4		9	Slashing	Reach	<p>The naginata consists of a 6-foot staff affixed to a 2-foot-long, slightly curved, swordlike blade. The shaft is designed to keep the wielder out of reach from swords and shorter weapons.</p>
Martial	Two-Handed Melee 	Nodachi	60 gp	1d8	1d10	18-20/×2		8	Slashing or piercing	Brace	<p>This very long, two-handed weapon has a slender but wickedly sharp 4-foot-long blade at one end. It is predominantly used by ground troops to attack mounted warriors, and can be used to hack riders from their mounts or set to receive a charge.</p>
Martial	Two-Handed Melee 	Ogre hook	24 gp	1d8	1d10	×3		10	Piercing	Trip	<p>This large crook of sharpened metal makes it easy to trip and catch fleeing opponents. Invented by ogres, most ogre hooks are Large and crudely fashioned—often from metal torn from previous victims' weapons and armor. Despite their poor workmanship, the rarity and peril involved in getting ogre hooks make such items quite valuable.</p>
Martial	Two-Handed Melee 	Ranseur	10 gp	1d6	2d4	×3		12	Piercing	Disarm, reach	<p>Similar in appearance to a trident, a ranseur has a single spear at its tip, flanked by a pair of short, curving blades.</p>
Martial	Two-Handed Melee 	Rhomphaia	15 gp	1d6	2d4	×3		10	Piercing or slashing	Brace, fragile, reach	<p>This Bronze Age weapon is an early polearm consisting of a long, single-edged blade attached to a sturdy staff, sometimes slightly curved. It serves as both a cutting and a thrusting weapon.</p>
Martial	Two-Handed Melee 	Sansetsukon	8 gp	1d8	1d10	19-20/×2		3	Bludgeoning	Blocking, disarm, monk	<p>Also called a three-section staff, this weapon is divided into three 2-foot-long segments chained together, allowing the wielder greater flexibility than a normal staff and allowing the weapon to be swung rapidly to create a defensive block, wrap and catch weapons, or harness momentum via a whipping motion for powerful strikes.</p>
Martial	Two-Handed Melee 	Scythe	18 gp	1d6	2d4	×4		10	Piercing or slashing	Trip	<p>This weapon consists of a long wooden shaft with protruding handles and a sharp curved blade set at a right angle. Derived from a farm tool used to mow down crops, a scythe requires two hands to use, and is unwieldy but capable of inflicting grievous wounds. Its connotations as a symbol of death due to its association with reaping also make the scythe a particularly intimidating weapon.</p>
Martial	Two-Handed Melee 	Tepoztopilli	8 gp	1d8	1d10	19-20/×2		8	Piercing or slashing	Fragile, reach	<p>The head of this wooden Stone Age polearm is edged with jagged bits of obsidian, glass, teeth, or similar materials. The wide head serves well for both piercing and slashing attacks.</p>
Martial	Two-Handed Melee 	Tiger fork	5 gp	1d6	1d8	×2		8	Piercing	Brace, monk	<p>This long, tridentlike weapon consists of a three-pronged metal fork set upon an 8-foot-long shaft. It is wielded much like a staff, with the wielder grasping the shaft from the center and jabbing with its forked end. A tiger fork can be set to receive a charge.</p>
Martial	Two-Handed Melee 	Tri-point double-edged sword	12 gp	1d8	1d10	×3		14	Piercing	Reach	<p>Topping the head of this 5-foot-long shaft are three long, backward-curved blades fashioned in the appearance of a blossoming lotus. The unusually large head is designed to land heavy blows and cause multiple wounds that open away from each other.</p>
