		name	cost	cl	weight	description	reqs	aura
Wondrous Item	Eyes	Eyes of the eagle	2500 gp	3	0	<p>These lenses are made of special crystal and fit over the eyes of the wearer. They grant a +5 competence bonus on Perception checks. Both lenses must be worn to gain the benefit. Wearing only one causes a character to become dizzy and stunned for 1 round.</p>	1,250 gp, craft wondrous item, clairaudience/clairvoyance	faint divination
Wondrous Item	Eyes	Eyes of the owl	4000 gp	5	0	<p>These magical goggles are decorated with owl motifs, including clusters of feathers over the eyes. The wearer gains low-light vision.</p>	2,000 gp, craft wondrous item, beast shape i	faint transmutation
Wondrous Item	Eyes	Goggles of brilliant light	8800 gp	3	0	<p>These sturdy goggles have a mirror sheen on the outside of their lenses, a wrapping of leather holding them snugly in place. This tint blocks a considerable amount of natural light. Twice per day, the goggles' wearer can emit bright light on command to a range of 30 feet. Any creature within that area must succeed at a DC 13 Fortitude saving throw or be blinded for 1 hour. In addition, the wearer also gains a +2 resistance bonus on saving throws against visual effects.</p>	4,400 gp, craft wondrous item, light, scorching ray	faint evocation
Wondrous Item	Eyes	Goggles of elvenkind	8500 gp	5	0	<p>These simple goggles, made of two emeralds attached to a twin frame, grant the wearer low-light vision and a +5 compentence bonus on Spellcraft checks to identify magic auras and items. If the wearer already has low-light vision, it grants the wearer double the normal range for low-light vision. </p>	4,250 gp, craft wondrous item, beast shape ii, guidance	faint divination
Wondrous Item	Eyes	Goggles of minute seeing	2500 gp	3	0	<p>The lenses of this item are made of special crystal, its band woven with tiny patterns of metallic thread almost invisible to the naked eye. When placed over the eyes of the wearer, the lenses enable her to see much better than normal at distances of 1 foot or less, granting her a +5 competence bonus on Disable Device checks. Both lenses must be worn for the magic to be effective.</p>	1,250 gp, craft wondrous item, true seeing	faint divination
Wondrous Item	Eyes	Goggles of night	12000 gp	3	0	<p>The lenses of this item are made of violet crystal. Even though the lenses are opaque, when placed over the eyes of the wearer, they enable him to see normally and also grant him 60-foot darkvision. Both lenses must be worn for the magic to be effective.</p>	6,000 gp, craft wondrous item, darkvision	faint transmutation
Wondrous Item	Eyes	Inquisitor's monocle	6800 gp	3	0	<p>The thick glass lens of this golden-framed monocle is attached to the wearer by a weighty chain. This monocle helps draw out the truth of things, and was originally created to aid in the investigation of crimes and the questioning of witnesses. Twice per day on command, it can create a <i>zone of truth, </i>as per the spell. In addition, this monocle grants its wearer a +5 competence bonus on Sense Motive checks. Though it fits over only one of the wearer's eyes, the item takes up the entire eyes slot.</p>	3,400 gp, craft wondrous item, zone of truth	faint enchantment
Wondrous Item	Eyes	Kinsight goggles	7500 gp	2	1	<p><i>Kinsight goggles</i> are in fact two separate crystal monocles, linked together with a simple silver clasp that allows them to both be worn at once like pince-nez spectacles. The left and right halves may be separated and worn individually, allowing two people to see through one another's eyes. When separated, the wearer of either half of the goggles may speak a command word to see through the lens of the other half, so long as the halves of the goggles remain within 500 feet of one another. When the two lenses are attached and worn as one item, they offer no magical benefit�just some minor magnification.</p>	3,750 gp, craft wondrous item, share senses 	faint divination
Wondrous Item	Eyes	Lenses of detection	3500 gp	9	1	<p>These circular prisms let their wearer detect minute details, gaining a +5 competence bonus on Perception checks. It also aids in tracking, adding a +5 competence bonus on Survival checks when tracking.</p>	1,750 gp, craft wondrous item, true seeing	moderate divination
Wondrous Item	Eyes	Lenses of figment piercing	12000 gp	3	0	<p>When the wearer first sees an illusion effect with the figment subschool with a visual element, and that figment allows a saving throw, she can immediately make any allowed saving throw to realize the image is illusory instead of waiting to interact with it. This has no effect on illusions of other subschools or on illusions that do not normally allow a saving throw. If the wearer fails to disbelieve the illusion and later interacts with it in such a way as to qualify normally for a saving throw to disbelieve, she gains a +4 competence bonus on this saving throw.</p>	6,000 gp, craft wondrous item, see invisibility	faint divination
Wondrous Item	Eyes	Mindmaster's eyes	95000 gp	11	0	<p>This pair of thin and faceted ruby crystals fit over the wearer's eyes. On command, the wearer can use <i>charm monster</i> (Will DC 19 to negate), or once per day the wearer can use <i>dominate person</i> (Will DC 20 to negate) instead.</p>	47,500 gp, craft wondrous item, charm monster, dominate person	strong enchantment
Wondrous Item	Eyes	Monocle of the investigator	66000 gp	11	0	<p>This crystal lens fits over a single eye but takes up the entire eyes slot. Once per day, the wearer is able to gaze at a 10-foot-by-10-foot area and see exactly what occurred in that area during the past 24 hours. The vision of what occurred in the specified area comes to the user in a single minute of observation; if that minute is interrupted, the wearer must use the monocle again to get the full observation. All the visual details of the observed events are clear and memorable to the user, no matter how obscure. The monocle does not, however, provide any insight into the observed events besides what can be visually seen. Observed conversations cannot be heard, for example.</p>	33,000 gp, craft wondrous item, legend lore, vision	moderate divination
Wondrous Item	Eyes	Pirate's eye patch	2600 gp	2	0	<p>This black silk eye patch is adorned by a skull and crossbones worked in silver thread. The wearer of this patch gains a +2 competence bonus on Swim and Climb checks. In addition, once per day, the wearer of this eye patch can gain the effects of either <i>touch of the sea </i> or <i>expeditious retreat</i> on command (wearer's choice).</p>	1,300 gp, craft wondrous item, expeditious retreat, touch of the sea	faint transmutation
Wondrous Item	Eyes	Rainbow lenses	21000 gp	15	0	<p>These lenses interfere with the wearer's ability to see color, and everything appears in shades of black and white, as if the wearer were using darkvision. Once per day the wearer can use <i>color spray</i>, <i>hypnotic pattern</i>, and <i>rainbow pattern</i>.</p>	10,500 gp, craft wondrous item, color spray, hypnotic pattern, rainbow pattern	strong enchantment
Wondrous Item	Eyes	Sea tyrant's patch	70000 gp	15	0	<p>This ornate silk eye patch is embroidered with gold thread and studded with pearls in a pattern representing a whirlpool. The wearer of this item, which is a favorite patch of ruthless or particularly driven pirate captains, is constantly affected as if subject to the <i>touch of the sea</i>  and <i>water breathing</i> spells. Furthermore, once per day on command, the wearer can use <i>mass charm monster,</i> as per the spell.</p>	35,000 gp, craft wondrous item, mass charm monster, touch of the sea, water breathing	strong enchantment
Wondrous Item	Eyes	Sniper goggles	20000 gp	5	1	<p>The leather strap attached to these bulbous lenses allows their wearer to fit them to his head. The wearer of these goggles can make ranged sneak attacks from any distance instead of the normal 30 feet. When making ranged sneak attacks within 30 feet, the wearer gains a +2 circumstance bonus on each sneak attack damage die.</p>	10,000 gp, craft wondrous item, true strike	faint divination
Wondrous Item	Eyes	Sniper goggles, greater	50000 gp	8	0	<p>These goggles feature stubby periscopelike lenses that expand and retract depending on the needs of the wearer. These goggles function as <i>sniper goggles</i>, but the wearer gains the +2 circumstance bonus on each sneak attack when making a sneak attack at any range. </p>	25,000 gp, craft wondrous item, true strike	moderate divination
Wondrous Item	Eyes	Spectacles of understanding	3000 gp	2	0	<p>When worn, these innocent-looking spectacles convert any written language to one known by the wearer, as the <i>comprehend language</i>s spell. The glasses are also good at detecting falsified documents, granting their wearer a +5 bonus to Linguistics checks to identify forgeries and the ability make such checks untrained.</p>	1,500 gp, craft wondrous item, comprehend languages	faint divination
Wondrous Item	Eyes	Swordmaster's blindfold	80000 gp	9	0	<p>This black band of silk grants its wearer spectacular senses within a limited range. Some believe these items were made to grant lesser swordmasters the illusion of skill. When the wearer places the blindfold over her eyes, she becomes blinded, but gains blindsight  within the reach of her melee weapon, or 5 feet if the wearer is not wielding a melee weapon. Furthermore, the wearer is under the effect of a constant <i>locate weakness</i> (<i>Ultimate Combat</i> 236) spell, but only when making melee attacks.</p>	40,000 gp, craft wondrous item, blindness, locate weakness	moderate transmutation
Wondrous Item	Eyes	Treasure hunter's goggles	6400 gp	3	0	<p>These sturdy but plain goggles help the wearer locate secret doors and coins and identify treasure. While wearing these goggles, the wearer can use <i>detect secret doors</i> at will. The goggles do not aid in determining how secret doors are opened.</p><p>Once per day on command, the wearer gains the ability to <i>locate object</i> as per the spell, but only to detect 100 or more coins in a small area, such as a backpack, chest, pouch, or sack.</p><p>Three times per day, the wearer may use <i>identify</i>.</p>	3,200 gp, craft wondrous item, detect secret doors, identify, locate object	faint divination
Wondrous Item	Eyes	Truesight goggles	184800 gp	11	0	<p>These goggles, constructed of a pair of perfect prisms held in place by golden frames and affixed to the head by a black leather strap, grants the wearer <i>true seeing</i> continuously. Furthermore, once per day on command, the wearer can use <i>analyze dweomer</i> as the spell.</p>	92,400 gp, craft wondrous item, analyze dweomer, true seeing	strong divination
