		name	cost	cl	weight	description	reqs	aura
Staff		Staff of charming	17600 gp	8	5	<p>Made of twisting wood ornately shaped and carved, this staff allows use of the following spells:</p><ul><li><i>Charm person</i> (1 charge)</li><li><i>Charm monster</i> (2 charges)</li></ul>	8,800 gp, craft staff, charm monster, charm person	moderate enchantment
Staff		Staff of conjuration	82000 gp	13	5	<p>This staff is usually made of ash or walnut and bears ornate carvings of many different kinds of creatures. It allows use of the following spells:</p><ul><li><i>Stinking cloud</i> (1 charge)</li><li><i>Summon swarm</i> (1 charge)</li><li><i>Unseen servant</i> (1 charge)</li><li><i>Cloudkill</i> (2 charges)</li><li><i>Minor creation</i> (2 charges)</li><li><i>Summon monster VI</i> (3 charges)</li></ul>	41,000 gp, craft staff, cloudkill, minor creation, stinking cloud, summon monster vi, summon swarm, unseen servant	strong conjuration
Staff		Staff of courage	19200 gp	8	5	<p>This sturdy-looking hickory staff is capped with a figurine of an angel or other benevolent spirit, wings and arms outstretched as if in welcome. This staff allows use of the following spells:</p><ul><li><i>Bless</i> (1 charge)</li><li><i>Remove fear</i> (1 charge)</li><li><i>Prayer</i> (2 charges)</li><li><i>Remove paralysis</i> (2 charges)</li></ul>	9,600 gp, craft staff, bless, prayer, remove fear, remove paralysis	moderate enchantment
Staff		Staff of curses	43500 gp	9	5	<p>This gnarled wooden staff is bedecked with broken charms and burnt fetishes that were once used to ward against bad luck, but now are in shambles. The staff allows use of the following spells:</p><ul><li><i>Blindness/deafness </i>(1 charge)</li><li><i>Ill omen </i>(1 charge)</li><li><i>Baleful polymorph </i>(2 charges)</li><li><i>Bestow curse </i>(2 charges)</li></ul><p>In addition, the <i>staff of curses</i> is a <i>+1/+1 quarterstaff</i>, and whenever the wielder strikes a creature with the staff, he can expend one charge to cause the creature to become cursed for a number of rounds equal to the number of charges remaining in the staff. While this curse persists, the creature takes a -2 penalty on saving throws from spells cast from the staff and a -2 penalty to AC against any attacks made by the staff.</p>	22,050 gp, craft magic arms and armor, craft staff, baleful polymorph, bestow curse, blindness/deafness, ill omen	moderate transmutation
Staff		Staff of dark flame	47000 gp	8	4	<p>Made from bleached bones that have been fused together, the head of this staff burns with an unholy fire. This staff can be used as a <i>+1 flaming quarterstaff</i> (only one end of the staff bears magical enhancement), and it retains this property even if all its charges are drained. This staff can cast the following spells:</p><ul><li><i>False life </i>(1 charge)</li><li><i>Ray of enfeeblement</i> (1 charge)</li><li><i>Scorching ray</i> (1 charge)</li><li><i>Fireball</i> (2 charges)</li><li><i>Animate dead</i> (3 charges)</li></ul>	27,133 gp, craft magic arms and armor, craft staff, animate dead, false life, fireball, ray of enfeeblement, scorching ray	moderate evocation and necromancy
Staff		Staff of defense	62000 gp	15	5	<p>The <i>staff of defense </i>is a simple-looking polished wooden staff that throbs with power when held defensively. It allows use of the following spells:</p><ul><li><i>Shield</i> (1 charge)</li><li><i>Shield of faith</i> (1 charge)</li><li><i>Shield other</i> (1 charge)</li><li><i>Shield of law</i> (3 charges)</li></ul>	31,000 gp, craft staff, shield, shield of faith, shield of law, shield other, creator must be lawful	strong abjuration
Staff		Staff of divination	82000 gp	13	5	<p>Made from a supple length of willow carefully selected to have a crooked, forked tip, a <i>staff of divination </i>allows use of the following spells:</p><ul><li><i>Detect secret doors</i> (1 charge)</li><li><i>Locate object</i> (1 charge)</li><li><i>Tongues</i> (1 charge)</li><li><i>Locate creature</i> (2 charges)</li><li><i>Prying eyes</i> (2 charges)</li><li><i>True seeing</i> (3 charges)</li></ul>	41,000 gp, craft staff, detect secret doors, locate creature, locate object, prying eyes, tongues, true seeing	strong divination
Staff		Staff of earth and stone	85800 gp	11	5	<p>This staff is topped with a fist-sized emerald that gleams with smoldering power. It allows the use of the following spells:</p><ul><li><i>Move earth</i> (1 charge)</li><li><i>Passwall</i> (1 charge)</li></ul>	42,900 gp, craft staff, move earth, passwall	moderate transmutation
Staff		Staff of eidolons	14400 gp	8	5	<p>This crooked staff is made of mahogany and decorated with the bones of eidolons that jut out of the wood. It allows the use of the following spells:</p><ul><li><i>Lesser rejuvenate eidolon</i> (1 charge)</li><li><i>Unfetter</i> (1 charge)</li><li><i>Lesser evolution surge</i> (2 charges)</li></ul>	7,200 gp, craft staff, lesser evolution surge, lesser rejuvenate eidolon, unfetter	moderate conjuration and transmutation
Staff		Staff of electricity	31900 gp	11	5	<p>This staff is made of shining silver, with a tip shaped like a lightning bolt. The staff allows use of the following spells:</p><ul><li><i>Shocking grasp </i>(1 charge)</li><li><i>Lightning bolt </i>(2 charges)</li><li><i>Chain lightning </i>(3 charges)</li></ul>	15,950 gp, craft staff, chain lightning, lightning bolt, shocking grasp	moderate evocation
Staff		Staff of enchantment	82000 gp	13	5	<p>Often made from applewood and topped with a clear crystal, this staff allows use of the following spells:</p><ul><li><i>Hideous laughter</i> (1 charge)</li><li><i>Sleep</i> (1 charge)</li><li><i>Suggestion</i> (1 charge)</li><li><i>Crushing despair</i> (2 charges)</li><li><i>Mind fog</i> (2 charges)</li><li><i>Mass suggestion</i> (3 charges)</li></ul>	41,000 gp, craft staff, crushing despair, hideous laughter, mass suggestion, mind fog, sleep, suggestion	strong enchantment
Staff		Staff of evocation	82000 gp	13	5	<p>This smooth staff carved from hickory or yew allows use of the following spells:</p><ul><li><i>Fireball</i> (1 charge)</li><li><i>Magic missile</i> (1 charge)</li><li><i>Shatter</i> (1 charge)</li><li><i>Ice storm</i> (2 charges)</li><li><i>Wall of force</i> (2 charges)</li><li><i>Chain lightning</i> (3 charges)</li></ul>	41,000 gp, craft staff, chain lightning, fireball, ice storm, magic missile, shatter, wall of force	strong evocation
Staff		Staff of feast and famine	20800 gp	8	5	<p>Leaves sprout from this wooden staff, some green and some black. When the wielder uses the staff, he plucks one of the leaves: a green leaf to provide sustenance or a black leaf to cause hunger or thirst. The staff allows the use of the following spells:</p><ul><li><i>Create water</i> (1 charge)</li><li><i>Goodberry</i> (1 charge)</li><li><i>Purify food and drink</i> (1 charge)</li><li><i>Cup of dust</i> (2 charges)</li><li><i>Feast of ashes</i> (2 charges)</li></ul>	10,400 gp, craft staff, create water, cup of dust, feast of ashes, goodberry, purify food and drink	moderate transmutation
Staff		Staff of fire	18950 gp	8	5	<p>Crafted from bronzewood with brass bindings, this staff allows use of the following spells:</p><ul><li><i>Burning hands</i> (1 charge)</li><li><i>Fireball</i> (2 charges)</li><li><i>Wall of fire</i> (3 charges)</li></ul>	9,475 gp, craft staff, burning hands, fireball, wall of fire	moderate evocation
Staff		Staff of frost	41400 gp	10	5	<p>Tipped on either end with a glistening diamond, this rune-covered staff allows use of the following spells:</p><ul><li><i>Ice storm </i>(1 charge)</li><li><i>Wall of ice </i>(2 charges)</li><li><i>Cone of cold </i>(3 charges)</li></ul>	20,700 gp, craft staff, cone of cold, ice storm, wall of ice	moderate evocation
Staff		Staff of healing	29600 gp	8	5	<p>This white ash staff is decorated with inlaid silver runes. It allows use of the following spells:</p><ul><li><i>Cure serious wounds</i> (1 charge)</li><li><i>Lesser restoration</i> (1 charge)</li><li><i>Remove blindness/deafness</i> (2 charges)</li><li><i>Remove disease</i> (3 charges)</li></ul>	14,800 gp, craft staff, cure serious wounds, lesser restoration, remove blindness/deafness, remove disease	moderate conjuration
Staff		Staff of heaven and earth	54000 gp	9	5	<p>Topped by a swirling cloudy stone and wrapped with black iron filigree, this staff allows use of the following spells:</p><ul><li><i>Gust of wind</i> (1 charge)</li><li><i>Stone shape</i> (1 charge)</li><li><i>Air walk</i> (2 charges)</li><li><i>Control winds</i> (2 charges)</li><li><i>Spike stones</i> (2 charges)</li></ul>	27,000 gp, craft staff, air walk, control winds, gust of wind, spike stones, stone shape	moderate transmutation
Staff		Staff of hoarding	55866 gp	11	5	<p>This gorgeous teak shaft has many gold and silver coins hammered into it. It allows use of the following spells:</p><ul><li><i>Identify</i> (1 charge)</li><li><i>Locate object</i> (1 charge)</li><li><i>Magic aura</i> (1 charge)</li><li>S<i>ecret chest</i> (2 charges)</li><li><i>Legend lore</i> (3 charges)</li></ul>	30,016 gp, craft staff, identify, legend lore, locate object, magic aura, secret chest	moderate varies
Staff		Staff of hungry shadows	69300 gp	13	5	<p>This staff is made of scorched and twisted wood and is set with a crystal sphere filled with swirling smoke. It allows the use of the following spells:</p><ul><li><i>Darkness</i> (1 charge)</li><li><i>Ray of enfeeblement</i> (1 charge)</li><li><i>Vampiric touch </i>(1 charge)</li><li><i>Enervation</i> (2 charges)</li><li>Summon shadow (as <i>summon monster V</i> but summons 1 shadow, 2 charges)</li><li>Call devourer (as <i>planar binding</i> but calls 1 devourer, 3 charges)</li></ul>	34,650 gp, craft staff, darkness, enervation, planar binding, ray of enfeeblement, summon monster v, vampiric touch	strong varies
Staff		Staff of illumination	51500 gp	15	5	<p>This staff is usually sheathed in a layer of silver and decorated with gold and amber sunbursts. A <i>staff of illumination</i> allows use of the following spells:</p><ul><li><i>Dancing lights</i> (1 charge)</li><li><i>Flare</i> (1 charge)</li><li><i>Daylight</i> (2 charges)</li><li><i>Sunburst</i> (3 charges)</li></ul>	25,750 gp, craft staff, dancing lights, daylight, flare, sunburst	strong evocation
Staff		Staff of illusion	82000 gp	13	5	<p>This staff is made from ebony or other dark wood and carved into an intricately twisted, fluted, or spiral shape. It allows use of the following spells:</p><ul><li><i>Disguise self</i> (1 charge)</li><li><i>Major image</i> (1 charge)</li><li><i>Mirror image</i> (1 charge)</li><li><i>Persistent image</i> (2 charges)</li><li><i>Rainbow pattern</i> (2 charges)</li><li><i>Mislead</i> (3 charges)</li></ul>	41,000 gp, craft staff, disguise self, major image, mirror image, mislead, persistent image, rainbow pattern	strong illusion
Staff		Staff of journeys	27200 gp	8	5	<p>This walking stick, which still has dark gray bark along its entire length, branches into an ornate fork at its top, decorated with wildflowers and different kinds of leaves. It allows use of the following spells:</p><ul><li><i>Detect snares and pits</i> (1 charge)</li><li><i>Endure elements</i> (1 charge)</li><li><i>Longstrider</i> (1 charge)</li><li><i>Pass without trace</i> (1 charge)</li><li><i>Freedom of movement</i> (2 charges)</li></ul>	13,600 gp, craft staff, detect snares and pits, endure elements, freedom of movement, longstrider, pass without trace	moderate varies
Staff		Staff of life	109400 gp	11	5	<p>A <i>staff of life is</i> made of thick polished oak shod in gold and decorated with sinuous runes of silver or ivory, which depict various cycles of life and death according to different cultures. This staff allows use of the following spells:</p><ul><li><i>Heal</i> (1 charge)</li><li><i>Raise dead</i> (5 charges)</li></ul>	79,700 gp, craft staff, heal, raise dead	moderate conjuration
Staff		Staff of many rays	57200 gp	11	5	<p>The elaborate swirls and delicate flecks of shining metal adorning the head of this pale wooden shaft make it seem almost as much a long mace as a staff. It allows use of the following spells:</p><ul><li><i>Ray of enfeeblement</i> (1 charge)</li><li><i>Ray of exhaustion</i> (1 charge)</li><li><i>Scorching ray</i> (1 charge)</li><li><i>Enervation</i> (2 charges)</li><li><i>Disintegrate</i> (3 charges)</li></ul>	28,600 gp, craft staff, disintegrate, enervation, ray of enfeeblement, ray of exhaustion, scorching ray	moderate evocation and necromancy
Staff		Staff of minor arcana	8000 gp	8	5	<p>This gleaming staff is made of polished silver and capped with a simple gemstone. It is frequently given as a gift to apprentice spellcasters upon completing their tutelage. The staff allows use of the following spells:</p><ul><li><i>Shield </i>(1 charge)</li><li><i>Magic missile </i>(2 charges)</li></ul>	4,000 gp, craft staff, magic missile, shield	moderate abjuration and evocation
Staff		Staff of mithral might	58000 gp	11	7	<p>This staff is made of silver, with a shimmering sphere of mithral at either end. One end features a golden snake wrapped around the staff and cradling the larger of these two mithral spheres. The staff may be used as a weapon, functioning as a <i>+2/+2 quarterstaff</i>. It also grants a +2 enhancement bonus to Intelligence to whoever possesses it. These two attributes continue to function after all the charges are expended. It allows the use of the following spells:</p><ul><li><i>Bull's strength</i> (1 charge)</li><li><i>Enlarge person </i>(1 charge)</li><li><i>Telekinesis</i> (3 charges)</li><li><i>Flesh to stone</i> (4 charges)</li></ul>	29,300 gp, craft magic arms and armor, craft staff, bull's strength, enlarge person, flesh to stone, fox's cunning, telekinesis	moderate transmutation
Staff		Staff of necromancy	82000 gp	13	5	<p>This staff is made from ebony or other dark wood and carved with images of bones and skulls mingled with strange spidery runes. It allows use of the following spells:</p><ul><li><i>Cause fear</i> (1 charge)</li><li><i>Ghoul touch</i> (1 charge)</li><li><i>Halt undead</i> (1 charge)</li><li><i>Enervation</i> (2 charges)</li><li><i>Waves of fatigue</i> (2 charges)</li><li><i>Circle of death</i> (3 charges)</li></ul>	41,000 gp, craft staff, cause fear, circle of death, enervation, ghoul touch, halt undead, waves of fatigue	strong necromancy
Staff		Staff of obstacles	51600 gp	9	5	<p>Dark and solid, this worn staff appears to be carved of rough stone, yet feels and weighs like light wood. It allows use of the following spells:</p><ul><li><i>Arcane lock</i> (1 charge)</li><li><i>Grease</i> (1 charge)</li><li><i>Wind wall</i> (1 charge)</li><li><i>Wall of fire</i> (2 charges)</li><li><i>Wall of ice</i> (2 charges)</li><li><i>Wall of stone</i> (3 charges)</li></ul>	25,800 gp, craft staff, arcane lock, grease, wall of fire, wall of ice, wall of stone, wind wall	moderate varies
Staff		Staff of one hundred hands	180200 gp	17	5	<p>Sculpted into the shape of dozens of grasping, distorted hands, this staff appears to be carved entirely from one piece of clear crystal. When held, the hands that form the staff distort to resemble the gloves or hands of the person holding it. It allows the use of the following spells:</p><ul><li><i>Forceful hand</i> (1 charge)</li><li><i>Interposing hand</i> (1 charge)</li><li><i>Clenched fist</i> (2 charges)</li><li><i>Grasping hand</i> (2 charges)</li><li><i>Crushing hand</i> (3 charges)</li></ul><p>This staff also allows the wielder to use <i>mage hand</i> at will.</p>	90,100 gp, craft staff, clenched fist, crushing hand, forceful hand, grasping hand, interposing hand, mage hand	strong evocation
Staff		Staff of passage	206900 gp	17	5	<p>This potent item allows use of the following spells:</p><ul><li><i>Dimension door</i> (1 charge)</li><li><i>Passwall</i> (1 charge)</li><li><i>Astral projection</i> (2 charges)</li><li><i>Greater teleport</i> (2 charges)</li><li><i>Phase door</i> (2 charges)</li></ul>	115,950 gp, craft staff, astral projection, dimension door, greater teleport, passwall, phase door	strong varies
Staff		Staff of performance	48800 gp	8	5	<p>Soon after falling into the hands of a new owner, this piece of finely varnished cedar develops ornamental brass keys, strings, or other decorations that make it look like a stylized version of its owner's favorite type of musical instrument. It allows use of the following spells:</p><ul><li><i>Calm emotions</i> (1 charge)</li><li><i>Glibness</i> (1 charge)</li><li><i>Hypnotic pattern</i> (1 charge)</li><li><i>Pyrotechnics</i> (1 charge)</li><li><i>Enthrall</i> (2 charges)</li><li><i>Major image</i> (2 charges)</li><li><i>Sculpt sound</i> (2 charges)</li></ul>	24,400 gp, craft staff, calm emotions, enthrall, glibness, hypnotic pattern, major image, pyrotechnics, sculpt sound	moderate varies
Staff		Staff of power	235000 gp	15	5	<p>A <i>staff of power </i>is a potent magic item with varied offensive and defensive abilities, carved from magically hardened wood. It is usually topped with a glistening gem or orb that burns from within with a flickering red light. The staff allows the use of the following spells:</p><ul><li><i>Continual flame </i>(1 charge)</li><li><i>Fireball</i> (heightened to 5th level, 1 charge)</li><li><i>Levitate</i> (1 charge)</li><li><i>Lightning bolt</i> (heightened to 5th level, 1 charge)</li><li><i>Magic missile</i> (1 charge)</li><li><i>Ray of enfeeblement</i> (heightened to 5th level, 1 charge)</li><li><i>Cone of cold</i> (2 charges)</li><li><i>Globe of invulnerability</i> (2 charges)</li><li><i>Hold monster</i> (2 charges)</li><li><i>Wall of force</i> (in a 10-ft.-diameter hemisphere around the caster only, 2 charges)</li></ul><p>The wielder of a <i>staff of power </i>gains a +2 luck bonus to AC and on saving throws. The staff is also a <i>+2 quarterstaff</i>, and its wielder may use it to smite opponents. If 1 charge is expended (a free action), the staff deals double damage (-3 on a critical hit) for 1 round.</p><p>A <i>staff of power </i>can be used for a retributive strike, requiring it to be broken by its wielder. (If this breaking of the staff is purposeful and declared by the wielder, it can be performed as a standard action that does not require the wielder to make a Strength check.) All charges currently in the staff are instantly released in a 30-foot spread. All creatures and objects within 2 squares of the broken staff take an amount of damage equal to 20 - the number of charges in the staff, those 3 or 4 squares away take an amount of damage equal to 15 - the number of charges, and those 5 or 6 squares away take an amount of damage equal to 10 - the number of charges. All those affected can make DC 17 Reflex saves to reduce the damage by half.</p><p>The character breaking the staff has a 50% chance of traveling to another plane of existence (01-50 on a d%), but if she does not, the explosive release of spell energy instantly destroys her. Only certain items, including the <i>staff of the magi</i> and the <i>staff of power</i>, are capable of being used for a retributive strike.</p>	117,500 gp, craft magic arms and armor, craft staff, cone of cold, continual flame, heightened fireball, globe of invulnerability, hold monster, levitate, heightened lightning bolt, magic missile, heightened ray of enfeeblement, wall of force	strong varies
Staff		Staff of radiance	23200 gp	8	5	<p>This silver-tipped willow staff constantly emits light, as if from a <i>light</i> spell-the radiance is emitted from the staff's metallic end and flickers as if with flame. The staff's wielder can deactivate or activate this glowing light as a swift action. In addition, a <i>staff of radiance</i> allows use of the following spells:</p><ul><li><i>Glitterdust</i> (1 charge)</li><li><i>Daylight</i> (2 charges)</li><li><i>Searing light</i> (2 charges)</li></ul>	11,600 gp, craft staff, daylight, glitterdust, light, searing light	moderate evocation
Staff		Staff of revelations	51008 gp	9	5	<p>The forked top of this walnut shaft resembles a combination of a dowsing rod and the curled horns of a beast, and a delicate gemstone hovers between its enfolding arms. The staff allows use of the following spells:</p><ul><li><i>Augury</i> (1 charge)</li><li><i>Speak with dead</i> (1 charge)</li><li><i>Divination</i> (2 charges)</li><li><i>Commune</i> (3 charges)</li></ul>	30,608 gp, craft staff, augury, commune, divination, speak with dead	moderate divination
Staff		Staff of rigor	20800 gp	8	5	<p>This iron-shod wood staff allows use of the following spells:</p><ul><li><i>bane</i> (1 charge)</li><li><i>Cause fear</i> (1 charge)</li><li><i>Command</i> (1 charge)</li><li><i>Magic weapon</i> (1 charge)</li><li><i>Align weapon</i> (2 charges)</li></ul>	10,400 gp, craft staff, align weapon, bane, cause fear, command, magic weapon	moderate varies
Staff		Staff of shrieking	28800 gp	8	5	<p>Holes in this metal shaft cause it to emit an eerie moan when swung through the air. It allows use of the following spells:</p><ul><li><i>Shatter</i> (1 charge)</li><li><i>Sound burst</i> (1 charge)</li><li><i>Shout</i> (2 charges)</li></ul>	14,400 gp, craft staff, shatter, shout, sound burst	moderate evocation
Staff		Staff of size alteration	26150 gp	8	5	<p>This staff of dark wood is stouter and sturdier than most magical staves, with a gnarled and twisted knot of wood at the top end. It allows use of the following spells:</p><ul><li><i>Enlarge person</i> (1 charge)</li><li><i>Reduce person</i> (1 charge)</li><li><i>Shrink item</i> (2 charges)</li><li><i>Mass enlarge person </i>(3 charges)</li><li><i>Mass reduce person</i> (3 charges)</li></ul>	13,075 gp, craft staff, enlarge person, mass enlarge person, mass reduce person, reduce person, shrink item	moderate transmutation
Staff		Staff of slumber	81766 gp	9	5	<p>Smoky spirals adorn the length of this staff, and have an almost hypnotic effect. The staff allows use of the following spells:</p><ul><li><i>Deep slumber</i> (1 charge)</li><li><i>Ray of exhaustion</i> (1 charge)</li><li><i>Dream</i> (2 charges)</li><li><i>Nightmare</i> (2 charges)</li><li><i>Waves of fatigue</i> (2 charges)</li><li><i>Symbol of sleep</i> (3 charges)</li></ul>	40,883 gp, craft staff, deep slumber, dream, nightmare, symbol of sleep, ray of exhaustion, waves of fatigue	moderate varies
